track_name,lyrics
Now United - ""Hewale""
12/31
Ichiko Aoba - ""HORO (a cappella)""
John Gabbana - ""Chosen""
Kylie Minogue & Dua Lipa - ""Real Groove (Studio 2054 Remix)""
Lauv - ""2021""
milet - ""inside you (From THE FIRST TAKE)""
REASON - ""Extinct (Extended)"" ft. Jack Harlow, Denzel Curry, Joey Bada$$ & WESTSIDE BOOGIE3Embed"
Geronimo,"43 ContributorsGeronimo Lyrics[Verse 1]
Can you feel it? Now it's coming back
We can steal it if we bridge this gap
I can see you through the curtains of the waterfall
When I lost it, yeah, you held my hand
But I tossed it, didn't understand
You were waiting as I dove into the waterfall

[Chorus]
So say Geronimo, say Geronimo
Say Geronimo, say Geronimo
Say Geronimo, say Geronimo
Say Geronimo

[Post-Chorus]
Can you feel my love?
Bombs away, bombs away
Bombs away
Can you feel my love?
Bombs away, bombs away
Bombs away
Say Geronimo

[Verse 2]
Well, we rushed it, moving way too fast
That we crushed it, but it's in the past
We can make this leap through the curtains of the waterfall
You might also like[Chorus]
So say Geronimo, say Geronimo
Say Geronimo, say Geronimo
Say Geronimo, say Geronimo
Say Geronimo

[Post-Chorus]
Can you feel my love?
Bombs away, bombs away
Bombs away
Can you feel my love?
Bombs away, bombs away
Bombs away

[Bridge]
Well, I'm just a boy with a broken toy
All lost and coy at the curtains of the waterfall
So it's here I stand as a broken man
But I've found my friend at the curtains of the waterfall
Now I'm falling down through the crashing sound
And you've come around at the curtains of the waterfall
And you rushed to me and it sets us free
So I fall to my knees at the curtains of the waterfall

[Chorus]
So say Geronimo, say Geronimo
Say Geronimo, say Geronimo
Say Geronimo, say Geronimo
Say Geronimo, say Geronimo
[Post-Chorus]
Can you feel my love?
(Say Geronimo, say Geronimo)
(Say Geronimo, say Geronimo)
Bombs away, bombs away
(Say Geronimo, say Geronimo)
Bombs away
(Say Geronimo, say Geronimo)

[Outro]
Can you feel my love?
(Make this leap)
(Make this leap)
(Make this leap)
(Make this leap)
Can you feel my love?39Embed"
Anyone,"90 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschفارسیAnyone Lyrics[Verse 1]
Dance with me under the diamonds
See me like breath in the cold
Sleep with me here in the silence
Come kiss me, silver and gold

[Pre-Chorus]
You say that I won't lose you, but you can't predict the future
So just hold on like you will never let go
Yeah, if you ever move on without me
I need to make sure you know that

[Chorus]
You are the only one I'll ever love (I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (Ever done)
Yeah, you, if it's not you, it's not anyone (Anyone), not anyone

[Verse 2]
Forever's not enough time to (Oh)
Love you the way that I want (Love you the way that I want)
'Cause every mornin', I'll find you (Oh)
I fear the day that I don't

[Pre-Chorus]
You say that I won't lose you, but you can't predict the future
'Cause certain things are out of our control
Yeah, if you ever move on without me
I need to make sure you know that
You might also like[Chorus]
You are the only one I'll ever love (Only one, I gotta tell ya, gotta tell ya)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (I've ever done)
Yeah, you, if it's not you, it's not anyone (It's not anyone, not anyone)

[Bridge]
Oh-oh-oh-oh
If it's not you, it's not anyone
Oh-oh-oh, oh yeah, woah

[Chorus]
Yeah, you are the only one I'll ever love (I gotta tell ya, gotta tell ya, yeah, oh-oh-oh-oh)
Yeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)
Lookin' back on my life, you're the only good I've ever done (Ever done, oh, yeah)
Yeah, you, if it's not you, it's not anyone35Embed"
Icee Pop,"10 ContributorsIcee Pop Lyrics[Intro]
Leybeats, this go crazy
100graham

[Chorus]
What's your favorite flavor of an Icee Pop? I forgot
I'm steady, tryna connect the dots, la-di-da
Girl, you got me workin' round the clock, can't be stopped
All your friends are on the chopping block
Cut 'em off, cut 'em off, yeah

[Post-Chorus]
I'll call you in the mornin' if this ain't a dream
I'll pick you up at 10 and then I'll pay for things
'Cause you know I got it like that, got it like that

[Verse]
(Okay)
Misdirection (Wait), sass with aggression (Okay)
You don't want to mess with (Okay)
That's natural selection (Okay), you say
Misdirection (Wait), sass with aggression (Okay)
You don't want to mess with (Okay)
That's natural selection (Okay)
Don't complain when you won't explain
And you won't ever say what's wrong
Better add some spice, and I want them plain
It's lame, it's nonе of you though
The window pane gets stainеd from the sun
I'll just wait until we get one
Never even wait 'til it's done
(What's your favorite flavor of an—?)
Let's play my Nintendo, Nintendo, ye-yeah that echoed, don't you
Diet Coke and Mentos, let's see how high we can go
I play you my demos, you meetin' me in the middle
Let's start the conversation simple with
You might also like[Chorus]
What's your favorite flavor of an Icee Pop? I forgot
I'm steady, trynna connect the dots, la-di-da
Girl, you got me workin' round the clock, can't be stopped
All your friends are on the choppin' block
Cut 'em off, cut 'em off, yeah

[Post-Chorus]
I'll call you in the mornin' if this ain't a dream
I'll pick you up at 10 and then I'll pay for things
'Cause you know I got it like that, got it like that

[Outro]
I think it's her eyes, or maybe it's the way that she walk
Or talk, or somethin', I just can't decide
All I need to know is if you showed up here with somebody tonight
If you didn't, then I'ma try to slide, I'ma try to slide
Eyes, or maybe it's the way that she walk
Or talk, or something, I just can't decide
All I need to know is if you showed up here with somebody tonight
If you didn't then I'ma try to slide, I'ma try to slideEmbed"
Change My Mind,"33 ContributorsChange My Mind Lyrics[Verse 1: Louis]
The end of the night, we should say goodbye
But we carry on while everyone's gone

[Pre-Chorus: Zayn]
Never felt like this before
Are we friends or are we more?
As I'm walking towards the door
I'm not sure

[Chorus: Liam]
But, baby, if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walkin' away if you'll be mine
Won't go, won't go
So, baby, if you say you want me to stay, stay for the night
I'll change my mind

[Verse 2: Liam]
Lean in when you laugh, we take photographs
There's no music on, but we dance along

[Pre-Chorus: Harry]
Never felt like this before
Are we friends or are we more?
As I'm walking towards the door
I'm not sure
You might also like[Chorus: Zayn]
But, baby, if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walkin' away if you'll be mine
Won't go, won't go
So, baby, if you say you want me to stay, stay for the night
I'll change my mind

[Post-Chorus: Zayn]
I'll change my mind

[Bridge: Niall]
Baby, if you say you want me to stay, I'll change my mind

[Chorus: Harry, Zayn]
But, baby, if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walkin' away if you'll be mine
Won't go, won't go
So, baby, if you say you want me to stay, stay for the night
I'll change my mind20Embed"
moon and back,"6 ContributorsMoon and Back Lyrics[verse 1]
I'm talking in circles
Can't get out of my head
I cry at commercials, and I never make the bed
And I'm pulling your last thread
When I'm coming unraveled

[Chorus]
Baby, to the Moon and back
You still love me more than that
When my skies are grey and my whole world is shaking
To the Moon and back
You love me more than that

[Verse 2]
When you go quiet, and won't let your guard down
I hear through the silence that you're trying to figure it out
You're trying to make me proud, believe me now

[Chorus]
Baby, to the Moon and back
I still love you more than that
When your skies are grey, and your whole world is shaking
To the Moon and back
I love you more than that
You might also like[Bridge]
We may fall but we'll keep on going
We may break but we won't stay broken
Through the cracks in the road, the flowers grow
For you see our storm clouds forming
And the Sun won't rise in the morning
You should know

[Chorus]
Baby, to the Moon and back
I will love you more than that
When your skies are grey, and your whole world is shaking
To the Moon and back
I'll love you more than that
To the Moon and back
I'll love you more than that3Embed"
The Lows,"9 ContributorsThe Lows Lyrics[Verse 1]
Cliche malaise in a dumb conversation
Predictable drama for 5 AM exits
Fridays they only pick up the recycling
So thank god it’s Monday ‘cause I’m useless garbage

[Hook 1]
I can relate
I’d throw me away
They discontinued my train
Now I can’t get home

[Verse 2]
Trade a few beers for crashing on couches
And overstaying your welcome with your parents
They’re furrowing brows while they wonder what happened
They’re so fucking bad hiding their disappointment

[Hook 2]
They can’t relate
Why’d you do this to me?
Now they canceled my plane
I’m on the runway but I can’t get home

[Verse 3]
All of the things we collected and thought would remind us of the people we wanted to be
Pile up like bricks in a poorly made tote bag that’s doing its best not to burst at the seams
But sooner or later coffee mugs and magnets are gonna come crashing down onto the street
And you’ll stand there holding the tide from your eyes saying
See Jeff Rosenstock LiveGet tickets as low as $36You might also like[Bridge]
“Stop, wait for the good times ahead of me
I can’t think that the best is in back of me.”
Clean up the shards of ceramic
Or leave them for someone who needs it

[Outro]
Yeah, stop, think good times are ahead of you
Stop, think, good times are ahead of you
This isn’t the end
We’ll always be friends
And we’ll smile like we’re falling in love when I see you again4Embed"
Paradise,"478 ContributorsOldie Lyrics[Intro: Taco & Tyler, the Creator]
Yo, shout out to everybody that worked on the album, you feel me, son?
Yo, shouts out to Ty Dollas
Shouts out to Hodgy Daddies, shouts out to Left Brizzle
Shouts out to Domyen, shouts out to Frankie Ocean
Shouts out to Syd the Dude
Shouts out to L-Boy, awwwwk
I told you

[Verse 1: Tyler, the Creator]
The big-eared bandit is tossin' all his manners
In a bag and wrappin' them in Saran wrap bandages
Tossin' 'em in baskets with the rest of those sandwiches
So when he says, ""Catch up, nigga,"" it looks like an accident
Um, flowing like my pad is the maxiest
My bitch white and black like she's been mimicking a panda
It's the dark-skinned nigga, kissing bitches in Canada
Then kicking all out like Mr. Lawrence did Pamela
Put her in the chamber all against her Wilt Chamberlain
I never had a Reason, nigga, I was just Ableton
Not a fucking Logic-contradicting dickhead (Not a Logic)
Flyer than an ostrich moshing in a tar pit
Semen-scented cheetah printed tee
In that 'Preme five-panel, I'll repeat it for the season (Hahaha)
Previous items in the present
With the normal-ass past like I cheated on my team
It's me (Tried to get that nigga, but, Golf Wang see, he did come back, though)
You might also like[Verse 2: Hodgy]
To have some type of knowledge that is one perception
But knowin' you own your opponent is a defeatin' bonus
I'm Zeus to a Kronos, cartilage cartridge is boneless
Smiles of cowards in lead showers, dead spouses in red blouses
Children who fled houses on Mustang horses and went joustin'
I'm on my Robin Hood shit, robbing in the hood
Whips, drugs, jewels and your pet, I'm stealin' your rims
Coke diamonds and your Vette, soldiers lace the fuckin' boot
And salute like the troop, when they shoot, you gon' brrrooop
It's KILLHodgy, nigga, stay the fuck off my stoop
And out my Kool-Aid, Juice

[Verse 3: Left Brain]
What's up, bitch?
Hodgy got the juice, I got the gin
Jasper got the Henny, my nigga, we get it in
Wolf Gang party at the hotel
I call a ho, you call a ho, and all the hoes tell
You know Left Brain need a freak (Yeah)
I need a bitch to go down like a Nitty beat
Yup, uh, and her ass fat
Don't be surprised if I ask where the hash at
Nigga, I'm tryna smoke, bitch, get higher (What up, what up, what's up, smoke)
Domo, where that Flocka Flame? Talking 'bout a lighter
Still bang salute me or just shoot me
'Cause if you don't salute me then my team will do the shooting
Yeah, my nigga Ace will pull the black jack
The king Mike G is in the cut with the black mac
We like the mafia, bitch, don't get to slacking up
And if these haters acting up, throw 'em in the aqueduct
Free my nigga Earl, yo, I don't really ask for much
But two bad bitches in front of me cunnilingus
[Verse 4: Mike G]
(We out here)
What the fuck is caution?
Often I leave 'em flossing in KAWS, exes next to coffins
Lost in translation, the dreams you chase
Got you diving for the plates like you stealing home base
That's great, I'm home alone dreaming of two on ones
With Rihanna and Christina Milian, bring it on
And Travis is in the closet organizing and hanging the tramp
Three lettermans that Ace has been making him
No strays while we catching matinees, huh?
I'm getting blazed thinking 'bout those days
I had the top off the GT3 like toupees
One finger in the air, all's fair when crime pays
My grand scheme of things is to be attached
To the game like bitches to their wedding rings
And you don't even need to look 'cause we gleam obscene
In the light, ride slow to my yellow diamond shining
Like the Batman logo over Gotham, rock LA to Harlem
If you say, ""Get 'em, Mike G,"" then I got 'em
One man squadron, nigga, I'm a problem
From Briggs, I got bars and plans to
Pimp these Polish bitches into pop stars
Humanity kills, we all suffer from insanity still
And if I said it then it is or it's gonna be real
OF 'til I OD and I probably will, uh
[Verse 5: Domo Genesis]
It's still Mr. Smoke-a-Lotta-Pot, get your baby mommy popped
With my other snobby bop, do I love her? Probably not
Know your shit is not as hot as anything I fuckin' drop
Bitch, I'm in the zone, stand alone, like Macaulay Culk
I've been runnin' blocks since a snotty tot
Big wheel was a big deal with the water Glocks
Now I'm all grown, same song, just a different waltz
Fire what I talk, but still cooler than an Otter Pop
Op, Dom next shit in your wish list
Mad sick shit, mad dick for your bitches
On some slick shit, your mistress on my hit list
And I'm lifted 'til I'm stiff outta this bitch
Odd in your motherfuckin' area (Motherfuckin' area)
Blood clots give me five feet 'fore I bury ya
('Fore I bury ya)
Suicide flow, let the big wave carry ya
(Suicide flow, let the big wave carry ya)
Tyler got the mask like he held Jim Carrey up
And fuck your team, ho, nigga, wassup? (Wassup?)
Wolf Gang so you know we not givin' no fucks
You know me dog, I'm a chill in the cut
So I can cut it short, break it down, couple pounds, roll it up

[Interlude: Frank Ocean]
Get me a Persian rug where the center looks like Galaga
Right, right

[Verse 6: Frank Ocean]
Rent a supercar for a day
Drive around with your friends, smoke a gram of that haze
Bro, easy on the ounce, that's a lot for a day
But just enough for a week, my nigga, what can I say?
I'm high and I'm bi, wait, I mean I'm straight
I'ma get you this wine, the runner just brought the grapes
My brother give it some time, Morris, and Day
Course you know the vibe's just as fly as the rhymes
On the song, cut and you could sample the feel
Headphone bleed, make this shit sound real
Used to work the grill, fat burger and fries
Then I made a mil' and them psychics was liars
Now, how many fucking crystal balls can I buy and own?
Humble old me had to flex for the folks
Down in Muscle Beach pumping iron and bone
Bumping oldies off my cellular phone
Yeah, bumping oldies off my cellular phone
Bumping oldies off my cellular phone
[Interlude: Jasper Dolphin]
Goddammit!
Rapping is stupid and it's hard
Gotta do it over and over and over again but here it go
[Verse 7: Jasper Dolphin]
Hey, it's Jasper, not even a rapper
Only on this beat to make my racks grow faster
Got a TV show, so I guess I'm an actor
Pothead, half-baked, lookin' like Chappelle
Rollin' up a blunt with that fire from hell (Woo)
Still ignorant, still hit a bitch (Wow)
Wolf Gang, nigga, so I still don't give a shit (Woo)
Catch me in the back with Miley's on my lap (Shit)
Bong rips as I feel on that little bitch cat (Cat)

[Interlude: Jasper Dolphin & Earl Sweatshirt]
Hah, nigga came through with a 9-bar real quick
Just for the bitches, little bit of money in my pocket
Fuck it, Wolf Gang
Yeah, fuck that
[Verse 8: Earl Sweatshirt]
Look, for contrast, here's a pair of lips
Swallowin' sarapin, settin' fire to sheriff's whips
(Whoops, whoops!) Fuckin' All-American terrorist
Crushin' rapper larynx to feed 'em a fuckin' carrot stick
And me? I just spent a year Ferrisin'
And lost a little sanity to show you what hysterics is
Spit 'til the lips meet the bottom of a barrel, so that sterile piss
Flow remind these niggas where embarrassed is
Narrow, tight line, might impair him since
I made it back to Fahrenheit, grimey get dinero type
Feral, fuckin' ill-apparel-wearin' pack of parasites
Threw his own youth off the roof after paradise
La di da di, back in here to fuck the party up
Raidin' fridges, tippin' over vases with a tommy gun
Never dollars, poppa make it rain hockey pucks
And sixty-day chips from fuckin' awesome anonymous
Call him bloated 'til he show 'em that the flow deluxe
Off the wall loafers, Four Loko in a cobra clutch
Vocals bold and rough, evoke a ho to pose as drum
And let me hit and beat it with a stick until the hole is numb
The culprit of the potent punch
Scoldin' hot as dunkin' scrotum in a Folgers cup
Or Nevada, drivin' drunk inside a stolen truck
And shittin' like his colon bust
Belly full of chicken and a fifth of old petroleum
Supernova, I'm rollin' over the novices
And roamin' through the forest and spittin' cold as his porridge is
Stay gold 'til the case closed and the story end
Post mortem porkin' this rap shit and record it
To escort it to the morgue again, lord of lips
Bored of this, forklift the tippy top, best under 40 list
Stormin' the gate, ensurin' the bass
Scorchin', leave these motherfuckers sore in torso and face (Ugh)
Get at me, we savages, half a pack of Apache
Indian pack of niggas who don't give a fuck if we nasty as flatulence
As a matter of fact, your swagger is tacky
So see me, you can't, like Crunchy Black catchin' a taxi
Uh, back like lateral passin'
With that motherfuckin' gladiator manner of rappin'
As an addict, I let Percocet and Xannies relax me
Fall back if your paddies is Maxi, please

[Verse 9: Tyler, the Creator]
OF, shit, that's all I got
From my bigger brother Frankie to my little brother Tac
From that father figure Clancy to that skatey nigga Nak
Shreddin' down 'Fax, Wolf Gang run the fuckin' block
Storefront, knee tat
Book cover is the same lettering on lettermans and cotton socks
And grip tape... and my shoes
Um, I was fifteen when I first drew that donut
Five years later, for our label, yeah, we own it
I started an empire, I ain't even old enough
To drink a fucking beer, I'm tipsy off this soda pop
This is for the niggers in the suburbs
And the white kids with nigga friends that say the n-word
And the ones who got called weird, fag, bitch, nerd
'Cause you was into jazz, kitty cats and Steven Spielberg
They say we ain't actin' right
Always try to turn our fuckin' color into black and white
But they'll never change 'em, never understand 'em
Radical's my anthem, turn my fuckin' amps up
So instead of critiquing and bitchin', bein' mad as fuck
Just admit, not only are we talented, we're rad as fuck, bitches

[Outro: Tyler, the Creator]
OFM, banging on your FM
Gnaw, 2011, yeah
Golf Wang280Embed"
Antibodies - LP Giobbi Remix,"1 ContributorAntibodies (LP Giobbi Remix) Lyrics[Pre-drop]
I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got mе
Got me goin' insane, I just want you to stay

I feel you evеrywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay
You might also likeI feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want

[Drop]
Antibodies (Want you to stay)
Antibodies (Want you to stay)
Antibodies (Want you to stay)
Antibodies (Want you to stay)

Antibodies (Want you to stay)
Antibodies (Want you to stay)
Antibodies (Want you to stay)
Antibodies (Want you to stay)

[Bridge]
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
This time around
I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

[Pre-drop]
I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay
I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

[Drop]
I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stay

I feel you everywhere, you got me
Cold sweat, my head is spinning and I cannot help it
I feel you everywhere, you got me
Got me goin' insane, I just want you to stayEmbed"
Your Light,"41 ContributorsTranslationsFrançaisLost in Your Light Lyrics[Verse 1: Dua Lipa]
Over and over
Waves of frightening feelings
Floating, weightless, I'm willing
My will keeps bending and breaking, honey

[Pre-Chorus: Dua Lipa]
Hold me, trust me
Let me ride in your love all night, babe
Hold me, touch me
I wanna die in your love all night, babe

[Chorus: Dua Lipa]
Lost in your light, baby
I wanna stay right here all night, baby
Let's get lost in the light, baby
I wanna stay right here all night, baby

[Verse 2: Miguel]
Oh, now everything's vivid, vivid
Torture tempted with pleasure
I'm reckless, tangled, suspended
You want it all, nothing's wasted, woman

[Pre-Chorus: Both & Miguel]
Hold me, trust me
You know you can hide in my arms all night now
Hold me, trust me
I'm gonna ride in your love all night
I'm
You might also like[Chorus: Both & Miguel]
Lost in your light, baby (Alright)
I wanna stay right here all night, baby (Alright)
Let's get lost in the light, baby (Alright)
I wanna stay right here all night, baby
(All night, alright)

[Bridge: Both & Miguel]
Midnight, your eyes
Bitter wine, conversations
You and me, some money, babe
I don't need a paycheck (Don't need a paycheck)
One taste and I'm hooked on it
Don't lie, I know you want it
I'm addicted to your light

[Chorus: Dua Lipa & Miguel & Both]
Lost in your light, baby
I wanna stay right here all night, baby
(All night, darling)
Let's get lost in the light, baby (All night)
I wanna stay right here all night, baby
(All night, all night)
Let's get lost in the light, baby18Embed"
Upside Down,"38 ContributorsTranslationsDeutschUpside Down Lyrics[Verse 1]
Who's to say
What's impossible? Well, they forgot
This world keeps spinning, and with each new day
I can feel a change in everything
And as the surface breaks, reflections fade
But in some ways, they remain the same
And as my mind begins to spread its wings
There's no stopping curiosity

[Chorus]
I wanna turn the whole thing upside down
I'll find the things they say just can't be found
I'll share this love I find with everyone
We'll sing and dance to Mother Nature's songs
I don't want this feeling to go away

[Verse 2]
Who's to say
I can't do everything? Well, I can try
And as I roll along I begin to find
Things aren't always just what they seem

[Chorus]
I wanna turn the whole thing upside down
I'll find the things they say just can't be found
I'll share this love I find with everyone
We'll sing and dance to Mother Nature's songs
This world keeps spinning
See Jack Johnson LiveGet tickets as low as $73You might also like[Bridge]
And there's no time to waste
Well, it all keeps spinning, spinning round and round
And upside down
Who's to say what's impossible and can't be found?
I don't want this feeling to go away

[Outro]
Please don't go away
Please don't go away
Please don't go away
Is this how it's supposed to be?
Is this how it's supposed to be?23Embed"
Come Hang Out,"60 ContributorsCome Hang Out Lyrics[Chorus: Samia Finnerty & Ryan Met, Jack Met]
Come hang out 'cause you're out of your mind
You're working so damn hard you forgot what you like
And come hang out, don't you leave us behind
But I'll be there next time, I'll be there next time

[Verse 1: Jack Met]
I can't complain, no I won't be mourning
'Cause I skipped on prom for Elvis Duran in the Morning
All of my life I have been starving
Not for a dinner with friends, more of a starving artist

[Pre-Chorus: Jack Met]
Yep yep I'm gonna miss this someday (gonna miss this someday)
Yep yep I missed another Friday
And all my friends say

[Chorus: Samia Finnerty & Ryan Met, Jack Met]
Come hang out 'cause you're out of your mind
You're working so damn hard you forgot what you like
And come hang out, don't you leave us behind
But I'll be there next time, I'll be there next time

[Verse 2: Jack Met]
Last album's sales could have been higher
Maybe that's why I haven't seen friends in a while
They're at a bar down in the Bahamas
While I'm doing promo, trying to blow up in Chicago
See AJR LiveGet tickets as low as $70You might also like[Pre-Chorus: Jack Met]
Yep yep I'm gonna miss this someday (gonna miss this someday)
Yep yep I missed another Friday
And all my friends say

[Chorus: Samia Finnerty & Ryan Met, Jack Met]
Come hang out 'cause you're out of your mind
You're working so damn hard you forgot what you like
And come hang out, don't you leave us behind
But I'll be there next time, I'll be there next time
Come hang out 'cause you're out of your mind
You're working so damn hard you forgot what you like
And come hang out, don't you leave us behind
But I'll be there next time, I'll be there next time
Come hang out 'cause you're missing a lot
You haven't gone that far, you can find a real job
And come hang out, we can save you a shot
But I'll be there next time, I'll be there next time

[Bridge: Jack Met]
Should I go for more clicks this year
Or should I follow the click in my ear?
Should I go for more clicks this year
Or should I follow the click in my ear?
Should I go for more clicks this year (Come hang out)
Or should I follow the click in my ear? (Come hang out)
Should I go for more clicks this year (Come hang out)
Or should I follow the click in my ear? (Come hang out)
Go!
[Chorus: Samia Finnerty & Ryan Met, Jack Met]
Come hang out 'cause you're out of your mind
You're working so damn hard you forgot what you like (Forgot what you like)
And come hang out, don't you leave us behind
But I'll be there next time, I'll be there next time
But I'll be there next time, I'll be there next time
Come hang out 'cause you're missing a lot
You haven't gone that far, you can find a real job (Find a real job)
And come hang out, we can save you a shot
But I'll be there next time, I'll be there next time

[Outro: Jack Met]
I'll be there next time, I'll be there next time
I'll be there next time, I'll be there next time23Embed"
Magic In The Hamptons (feat. Lil Yachty),"54 ContributorsMagic in the Hamptons Lyrics[Verse 1: Mikey]
Spot a little hottie when I flipped out the shade
Lookin' like a red Rari sittin' in a driveway
Bottle of Cîroc with a hint of Kool-Aid
She done pulled up like I'm getting rid of weeds
Are you tired from running through my mind?
Take a break and we can have a good time
Show you moves like I'm the new James Brown
Me and you should get a room right now

[Pre-Chorus: Mikey]
'Cause if it's gold, I'll throw it away
You're worth more than every single chain
It ain't gon' work if you don't want it to
Best drink I take is when I'm sippin' you

[Chorus: Mikey]
You know where I go when we're dancing
Handshakes in The Hamptons and gettin' drunk in the mansions with you
And you look so classy, come through with that magic
You know that I'm 'bout to smash it, it's true

[Verse 2: Mikey]
I can take you to the room or I can take you to the beach
But we gotta leave at 9 'cause I gotta get my sleep
You can be the early bird, I'ma give you that worm
Get with me, I'll take you 'round the world
You might also like[Pre-Chorus: Mikey]
'Cause if it's gold, I'll throw it away
You're worth more than every single chain
Walk with a limp, it just means I'm cool
Next trip I take, it's just me and you

[Chorus: Mikey]
You know where I go when we're dancing
Handshakes in The Hamptons and gettin' drunk in the mansions with you
And you look so classy, come through with that magic
You know that I'm 'bout to smash it, it's true

[Verse 3: Lil Yachty]
Lil Boat
You said you livin' up north when you comin' to the A
You said you need to find a crib, well, tell me where you wanna stay
I know we're not too pressed for time but can you pick up on the pace
I'm tired of looking at your pictures, wanna be up in your face
I wanna dance with you, I wanna laugh, I wanna sing
Take you on the road, have you rockin' on my bling
Don't know if you're the one, but if you are, you'll get a ring
That's later down the line, don't wanna rush these types of things
I'm a mama's boy so you gotta meet my mama first
As you whip the Coupe around, just use the seat belt first
New shoes, new clothes and a Chanel purse
Vacaying in The Hamptons got a lazy curse
Lil Boat
[Chorus: Mikey]
You know where I go when we're dancing
Handshakes in The Hamptons and gettin' drunk in the mansions with you
And you look so classy, come through with that magic
You know that I'm 'bout to smash it, it's true13Embed"
